external_id	display_name	role	c1_colocacion_credito_ejecutivo	c1_colocacion_credito_senior	c2_captacion_depositos_ejecutivo	c2_captacion_depositos_senior	c3_productos_cruzados_ejecutivo	c3_productos_cruzados_senior	c4_cumplimiento_regulatorio_ejecutivo	c4_cumplimiento_regulatorio_senior	Total_calc
BCL-5001	Adriana Reyes Molina	Ejecutivo Senior		180.00		400.00		250.00		150.00	980.00
BCL-5002	Fernando Hidalgo Paredes	Ejecutivo Senior		80.00		0.00		150.00		150.00	380.00
BCL-5003	Gabriela Vascones Delgado	Ejecutivo Senior		600.00		400.00		250.00		150.00	1400.00
BCL-5004	Santiago Alarcón Vega	Ejecutivo Senior		260.00		120.00		175.00		150.00	705.00
BCL-5005	Carlos Mauricio Reyes Vega	Ejecutivo Senior		240.00		120.00		225.00		150.00	735.00
BCL-5006	Ricardo José Andrade Mendieta	Ejecutivo	240.00		80.00		144.00		100.00		564.00
BCL-5007	Mauricio Sebastián Ochoa Ibarra	Ejecutivo	260.00		180.00		72.00		100.00		612.00
BCL-5008	Laura Elena Suárez Hidalgo	Ejecutivo	260.00		80.00		90.00		100.00		530.00
BCL-5009	Roberto Fernando Mora Cortés	Ejecutivo	170.00		80.00		126.00		100.00		476.00
BCL-5010	Marcela Alejandra Andrade Quinde	Ejecutivo	180.00		80.00		108.00		100.00		468.00
BCL-5011	Valentina Valentina Ortiz García	Ejecutivo	120.00		80.00		90.00		100.00		390.00
BCL-5012	Valentina Salazar Mendieta	Ejecutivo	80.00		0.00		18.00		100.00		198.00
BCL-5013	Pablo Mauricio Herrera García	Ejecutivo	80.00		0.00		162.00		100.00		342.00
BCL-5014	Isabella Alejandra Naranjo Macías	Ejecutivo	260.00		0.00		72.00		100.00		432.00
BCL-5015	Mauricio Sebastián Hidalgo Herrera	Ejecutivo Senior		340.00		0.00		225.00		150.00	715.00
BCL-5016	Emilio Fernando Torres Villavicencio	Ejecutivo	350.00		180.00		36.00		100.00		666.00
BCL-5017	Lorena Alejandra Paredes Alarcón	Ejecutivo	400.00		300.00		54.00		100.00		854.00
BCL-5018	Lorena Patricia Delgado Molina	Ejecutivo	170.00		80.00		54.00		100.00		404.00
BCL-5019	Claudia Andrea Solís Castillo	Ejecutivo	240.00		180.00		90.00		100.00		610.00
BCL-5020	Esteban Antonio Cortés Suárez	Ejecutivo	260.00		180.00		72.00		100.00		612.00
BCL-5021	Iván José Domínguez Paredes	Ejecutivo	330.00		0.00		108.00		100.00		538.00
BCL-5022	Elena Alejandra Álvarez Salazar	Ejecutivo	350.00		80.00		90.00		100.00		620.00
BCL-5023	Mónica Isabel Jaramillo Ortiz	Ejecutivo	240.00		0.00		72.00		100.00		412.00
BCL-5024	Gonzalo Mauricio Cárdenas Suárez	Ejecutivo Senior		260.00		120.00		175.00		150.00	705.00
BCL-5025	Teresa Valentina Domínguez Guerrero	Ejecutivo	240.00		80.00		72.00		100.00		492.00
BCL-5026	Mauricio Miguel Salazar Domínguez	Ejecutivo	430.00		80.00		90.00		100.00		700.00
