external_id	display_name	role	c1_colocacion_credito_ejecutivo	c1_colocacion_credito_senior	c2_captacion_depositos_ejecutivo	c2_captacion_depositos_senior	c3_productos_cruzados_ejecutivo	c3_productos_cruzados_senior	c4_cumplimiento_regulatorio_ejecutivo	c4_cumplimiento_regulatorio_senior	Total_calc
BCL-5001	Adriana Reyes Molina	Ejecutivo Senior		120.00		250.00		300.00		150.00	820.00
BCL-5002	Fernando Hidalgo Paredes	Ejecutivo Senior		260.00		400.00		200.00		150.00	1010.00
BCL-5003	Gabriela Vascones Delgado	Ejecutivo Senior		480.00		400.00		125.00		150.00	1155.00
BCL-5004	Santiago Alarcón Vega	Ejecutivo Senior		600.00		120.00		225.00		150.00	1095.00
BCL-5005	Carlos Mauricio Reyes Vega	Ejecutivo Senior		460.00		120.00		225.00		150.00	955.00
BCL-5006	Ricardo José Andrade Mendieta	Ejecutivo	180.00		300.00		108.00		100.00		688.00
BCL-5007	Mauricio Sebastián Ochoa Ibarra	Ejecutivo	350.00		180.00		144.00		100.00		774.00
BCL-5008	Laura Elena Suárez Hidalgo	Ejecutivo	350.00		180.00		126.00		100.00		756.00
BCL-5009	Roberto Fernando Mora Cortés	Ejecutivo	500.00		300.00		72.00		0.00		872.00
BCL-5010	Marcela Alejandra Andrade Quinde	Ejecutivo	500.00		300.00		54.00		0.00		854.00
BCL-5011	Valentina Valentina Ortiz García	Ejecutivo	500.00		180.00		162.00		100.00		942.00
BCL-5012	Valentina Salazar Mendieta	Ejecutivo	120.00		180.00		108.00		100.00		508.00
BCL-5013	Pablo Mauricio Herrera García	Ejecutivo	260.00		180.00		90.00		100.00		630.00
BCL-5014	Isabella Alejandra Naranjo Macías	Ejecutivo	180.00		300.00		126.00		100.00		706.00
BCL-5015	Mauricio Sebastián Hidalgo Herrera	Ejecutivo Senior		480.00		400.00		200.00		150.00	1230.00
BCL-5016	Emilio Fernando Torres Villavicencio	Ejecutivo	180.00		180.00		90.00		0.00		450.00
BCL-5017	Lorena Alejandra Paredes Alarcón	Ejecutivo	500.00		180.00		72.00		100.00		852.00
BCL-5018	Lorena Patricia Delgado Molina	Ejecutivo	350.00		180.00		144.00		100.00		774.00
BCL-5019	Claudia Andrea Solís Castillo	Ejecutivo	350.00		180.00		144.00		100.00		774.00
BCL-5020	Esteban Antonio Cortés Suárez	Ejecutivo	260.00		180.00		108.00		0.00		548.00
BCL-5021	Iván José Domínguez Paredes	Ejecutivo	240.00		180.00		144.00		100.00		664.00
