external_id	display_name	role	c1_colocacion_credito_ejecutivo	c1_colocacion_credito_senior	c2_captacion_depositos_ejecutivo	c2_captacion_depositos_senior	c3_productos_cruzados_ejecutivo	c3_productos_cruzados_senior	c4_cumplimiento_regulatorio_ejecutivo	c4_cumplimiento_regulatorio_senior	Total_calc
BCL-5001	Adriana Reyes Molina	Ejecutivo Senior		180.00		120.00		225.00		150.00	675.00
BCL-5002	Fernando Hidalgo Paredes	Ejecutivo Senior		480.00		400.00		275.00		0.00	1155.00
BCL-5003	Gabriela Vascones Delgado	Ejecutivo Senior		600.00		400.00		225.00		150.00	1375.00
BCL-5004	Santiago Alarcón Vega	Ejecutivo Senior		260.00		250.00		200.00		150.00	860.00
BCL-5005	Carlos Mauricio Reyes Vega	Ejecutivo Senior		460.00		120.00		275.00		150.00	1005.00
BCL-5006	Ricardo José Andrade Mendieta	Ejecutivo	350.00		300.00		90.00		100.00		840.00
BCL-5007	Mauricio Sebastián Ochoa Ibarra	Ejecutivo	240.00		80.00		126.00		0.00		446.00
BCL-5008	Laura Elena Suárez Hidalgo	Ejecutivo	330.00		180.00		108.00		100.00		718.00
BCL-5009	Roberto Fernando Mora Cortés	Ejecutivo	120.00		80.00		216.00		100.00		516.00
BCL-5010	Marcela Alejandra Andrade Quinde	Ejecutivo	120.00		180.00		108.00		100.00		508.00
BCL-5011	Valentina Valentina Ortiz García	Ejecutivo	50.00		180.00		108.00		100.00		438.00
BCL-5012	Valentina Salazar Mendieta	Ejecutivo	430.00		300.00		126.00		100.00		956.00
BCL-5013	Pablo Mauricio Herrera García	Ejecutivo	260.00		80.00		72.00		0.00		412.00
BCL-5014	Isabella Alejandra Naranjo Macías	Ejecutivo	330.00		180.00		72.00		100.00		682.00
BCL-5015	Mauricio Sebastián Hidalgo Herrera	Ejecutivo Senior		260.00		250.00		200.00		150.00	860.00
BCL-5016	Emilio Fernando Torres Villavicencio	Ejecutivo	500.00		80.00		126.00		100.00		806.00
BCL-5017	Lorena Alejandra Paredes Alarcón	Ejecutivo	170.00		180.00		126.00		100.00		576.00
BCL-5018	Lorena Patricia Delgado Molina	Ejecutivo	120.00		80.00		54.00		100.00		354.00
BCL-5019	Claudia Andrea Solís Castillo	Ejecutivo	260.00		0.00		72.00		100.00		432.00
BCL-5020	Esteban Antonio Cortés Suárez	Ejecutivo	80.00		300.00		72.00		100.00		552.00
BCL-5021	Iván José Domínguez Paredes	Ejecutivo	350.00		180.00		72.00		100.00		702.00
BCL-5022	Elena Alejandra Álvarez Salazar	Ejecutivo	180.00		80.00		90.00		100.00		450.00
BCL-5023	Mónica Isabel Jaramillo Ortiz	Ejecutivo	260.00		80.00		90.00		100.00		530.00
BCL-5024	Gonzalo Mauricio Cárdenas Suárez	Ejecutivo Senior		700.00		250.00		100.00		150.00	1200.00
BCL-5025	Teresa Valentina Domínguez Guerrero	Ejecutivo	120.00		300.00		126.00		100.00		646.00
