external_id	display_name	role	c1_colocacion_credito_ejecutivo	c1_colocacion_credito_senior	c2_captacion_depositos_ejecutivo	c2_captacion_depositos_senior	c3_productos_cruzados_ejecutivo	c3_productos_cruzados_senior	c4_cumplimiento_regulatorio_ejecutivo	c4_cumplimiento_regulatorio_senior	Total_calc
BCL-5001	Adriana Reyes Molina	Ejecutivo Senior		180.00		400.00		225.00		150.00	955.00
BCL-5002	Fernando Hidalgo Paredes	Ejecutivo Senior		120.00		250.00		250.00		150.00	770.00
BCL-5003	Gabriela Vascones Delgado	Ejecutivo Senior		480.00		400.00		125.00		150.00	1155.00
BCL-5004	Santiago Alarcón Vega	Ejecutivo Senior		180.00		0.00		300.00		150.00	630.00
BCL-5005	Carlos Mauricio Reyes Vega	Ejecutivo Senior		80.00		120.00		175.00		150.00	525.00
BCL-5006	Ricardo José Andrade Mendieta	Ejecutivo	180.00		80.00		72.00		100.00		432.00
BCL-5007	Mauricio Sebastián Ochoa Ibarra	Ejecutivo	80.00		80.00		72.00		100.00		332.00
BCL-5008	Laura Elena Suárez Hidalgo	Ejecutivo	80.00		180.00		108.00		100.00		468.00
BCL-5009	Roberto Fernando Mora Cortés	Ejecutivo	50.00		80.00		54.00		0.00		184.00
BCL-5010	Marcela Alejandra Andrade Quinde	Ejecutivo	80.00		180.00		90.00		100.00		450.00
BCL-5011	Valentina Valentina Ortiz García	Ejecutivo	300.00		300.00		144.00		100.00		844.00
BCL-5012	Valentina Salazar Mendieta	Ejecutivo	80.00		80.00		36.00		100.00		296.00
BCL-5013	Pablo Mauricio Herrera García	Ejecutivo	180.00		180.00		90.00		100.00		550.00
BCL-5014	Isabella Alejandra Naranjo Macías	Ejecutivo	180.00		180.00		108.00		100.00		568.00
BCL-5015	Mauricio Sebastián Hidalgo Herrera	Ejecutivo Senior		180.00		120.00		200.00		150.00	650.00
BCL-5016	Emilio Fernando Torres Villavicencio	Ejecutivo	300.00		180.00		108.00		100.00		688.00
BCL-5017	Lorena Alejandra Paredes Alarcón	Ejecutivo	260.00		80.00		90.00		100.00		530.00
BCL-5018	Lorena Patricia Delgado Molina	Ejecutivo	80.00		180.00		108.00		0.00		368.00
BCL-5019	Claudia Andrea Solís Castillo	Ejecutivo	180.00		80.00		180.00		100.00		540.00
BCL-5020	Esteban Antonio Cortés Suárez	Ejecutivo	330.00		180.00		54.00		0.00		564.00
BCL-5021	Iván José Domínguez Paredes	Ejecutivo	180.00		80.00		72.00		100.00		432.00
BCL-5022	Elena Alejandra Álvarez Salazar	Ejecutivo	80.00		80.00		108.00		0.00		268.00
BCL-5023	Mónica Isabel Jaramillo Ortiz	Ejecutivo	80.00		80.00		72.00		100.00		332.00
BCL-5024	Gonzalo Mauricio Cárdenas Suárez	Ejecutivo Senior		180.00		120.00		150.00		150.00	600.00
BCL-5025	Teresa Valentina Domínguez Guerrero	Ejecutivo	120.00		80.00		90.00		100.00		390.00
BCL-5026	Mauricio Miguel Salazar Domínguez	Ejecutivo	110.00		80.00		72.00		0.00		262.00
BCL-5027	Roberto Andrade Villavicencio	Ejecutivo	430.00		300.00		198.00		0.00		928.00
BCL-5028	Fernando Antonio Paredes Suárez	Ejecutivo	80.00		300.00		18.00		0.00		398.00
BCL-5029	Paola Fernanda Molina Trujillo	Ejecutivo	170.00		80.00		72.00		100.00		422.00
BCL-5030	Fabián Mauricio Montero Loor	Ejecutivo	80.00		180.00		54.00		100.00		414.00
BCL-5031	Gabriela Sofía Vega Paredes	Ejecutivo	120.00		180.00		144.00		100.00		544.00
BCL-5032	Ricardo Sebastián Salazar Paredes	Ejecutivo	120.00		180.00		108.00		100.00		508.00
BCL-5033	Kevin Fernando Paredes Cárdenas	Ejecutivo Senior		260.00		120.00		275.00		150.00	805.00
BCL-5034	Isabella Valentina Vascones Quinde	Ejecutivo	0.00		80.00		90.00		100.00		270.00
BCL-5035	Laura Carolina Guerrero Mora	Ejecutivo	120.00		180.00		72.00		0.00		372.00
