external_id	display_name	role	captacion_depositos_ejecutivo	captacion_depositos_senior	colocacion_credito_ejecutivo	colocacion_credito_senior	cumplimiento_regulatorio_ejecutivo	cumplimiento_regulatorio_senior	productos_cruzados_ejecutivo	productos_cruzados_senior	Total_calc
BCL-5001	Adriana Reyes Molina	Ejecutivo Senior		250.00		120.00		150.00		300.00	820.00
BCL-5002	Fernando Hidalgo Paredes	Ejecutivo Senior		400.00		260.00		150.00		200.00	1010.00
BCL-5003	Gabriela Vascones Delgado	Ejecutivo Senior		400.00		480.00		150.00		125.00	1155.00
BCL-5004	Santiago Alarcón Vega	Ejecutivo Senior		120.00		600.00		150.00		225.00	1095.00
BCL-5005	Carlos Mauricio Reyes Vega	Ejecutivo Senior		120.00		460.00		150.00		225.00	955.00
BCL-5006	Ricardo José Andrade Mendieta	Ejecutivo	300.00		180.00		100.00		108.00		688.00
BCL-5007	Mauricio Sebastián Ochoa Ibarra	Ejecutivo	180.00		350.00		100.00		144.00		774.00
BCL-5008	Laura Elena Suárez Hidalgo	Ejecutivo	180.00		350.00		100.00		126.00		756.00
BCL-5009	Roberto Fernando Mora Cortés	Ejecutivo	300.00		500.00		0.00		72.00		872.00
BCL-5010	Marcela Alejandra Andrade Quinde	Ejecutivo	300.00		500.00		0.00		54.00		854.00
BCL-5011	Valentina Valentina Ortiz García	Ejecutivo	180.00		500.00		100.00		162.00		942.00
BCL-5012	Valentina Salazar Mendieta	Ejecutivo	180.00		120.00		100.00		108.00		508.00
BCL-5013	Pablo Mauricio Herrera García	Ejecutivo	180.00		260.00		100.00		90.00		630.00
BCL-5014	Isabella Alejandra Naranjo Macías	Ejecutivo	300.00		180.00		100.00		126.00		706.00
BCL-5015	Mauricio Sebastián Hidalgo Herrera	Ejecutivo Senior		400.00		480.00		150.00		200.00	1230.00
BCL-5016	Emilio Fernando Torres Villavicencio	Ejecutivo	180.00		180.00		0.00		90.00		450.00
BCL-5017	Lorena Alejandra Paredes Alarcón	Ejecutivo	180.00		500.00		100.00		72.00		852.00
BCL-5018	Lorena Patricia Delgado Molina	Ejecutivo	180.00		350.00		100.00		144.00		774.00
BCL-5019	Claudia Andrea Solís Castillo	Ejecutivo	180.00		350.00		100.00		144.00		774.00
BCL-5020	Esteban Antonio Cortés Suárez	Ejecutivo	180.00		260.00		0.00		108.00		548.00
BCL-5021	Iván José Domínguez Paredes	Ejecutivo	180.00		240.00		100.00		144.00		664.00
BCL-5022	Elena Alejandra Álvarez Salazar	Ejecutivo	180.00		350.00		100.00		72.00		702.00
BCL-5023	Mónica Isabel Jaramillo Ortiz	Ejecutivo	180.00		350.00		100.00		36.00		666.00
BCL-5024	Gonzalo Mauricio Cárdenas Suárez	Ejecutivo Senior		400.00		260.00		150.00		300.00	1110.00
BCL-5025	Teresa Valentina Domínguez Guerrero	Ejecutivo	180.00		180.00		100.00		90.00		550.00
BCL-5026	Mauricio Miguel Salazar Domínguez	Ejecutivo	300.00		330.00		0.00		144.00		774.00
BCL-5027	Roberto Andrade Villavicencio	Ejecutivo	300.00		260.00		100.00		180.00		840.00
BCL-5028	Fernando Antonio Paredes Suárez	Ejecutivo	80.00		260.00		100.00		18.00		458.00
BCL-5029	Paola Fernanda Molina Trujillo	Ejecutivo	180.00		430.00		0.00		90.00		700.00
BCL-5030	Fabián Mauricio Montero Loor	Ejecutivo	180.00		430.00		100.00		72.00		782.00
BCL-5031	Gabriela Sofía Vega Paredes	Ejecutivo	80.00		430.00		100.00		162.00		772.00
BCL-5032	Ricardo Sebastián Salazar Paredes	Ejecutivo	180.00		80.00		100.00		72.00		432.00
BCL-5033	Kevin Fernando Paredes Cárdenas	Ejecutivo Senior		120.00		180.00		150.00		350.00	800.00
BCL-5034	Isabella Valentina Vascones Quinde	Ejecutivo	300.00		120.00		100.00		108.00		628.00
BCL-5035	Laura Carolina Guerrero Mora	Ejecutivo	300.00		180.00		100.00		108.00		688.00
BCL-5036	Fernanda Carolina Herrera Quinde	Ejecutivo	80.00		400.00		0.00		162.00		642.00
BCL-5037	Diego José Quinde Benítez	Ejecutivo	300.00		80.00		100.00		36.00		516.00
BCL-5038	Mauricio Antonio Vascones Solís	Ejecutivo	180.00		180.00		100.00		108.00		568.00
BCL-5039	Kevin Alejandro Rojas Álvarez	Ejecutivo	80.00		260.00		100.00		72.00		512.00
BCL-5040	Fernando Sebastián Hidalgo Palacios	Ejecutivo	180.00		180.00		100.00		126.00		586.00
BCL-5041	Ana Lucía Paredes Cortés	Ejecutivo	80.00		170.00		100.00		198.00		548.00
BCL-5042	Andrea Carolina Naranjo Quinde	Ejecutivo	80.00		350.00		100.00		90.00		620.00
BCL-5043	Isabella Elena Castillo Rivera	Ejecutivo Senior		400.00		180.00		150.00		150.00	880.00
BCL-5044	Ana Elena Castillo Chávez	Ejecutivo	180.00		330.00		100.00		90.00		700.00
BCL-5045	Kevin Andrés Paredes Domínguez	Ejecutivo	420.00		330.00		100.00		72.00		922.00
BCL-5046	Pablo Alejandro Barrera Reyes	Ejecutivo	180.00		260.00		0.00		90.00		530.00
BCL-5047	Silvia Andrea Barrera Trujillo	Ejecutivo	300.00		350.00		0.00		36.00		686.00
BCL-5048	Daniela Alejandra Montero Vascones	Ejecutivo	300.00		330.00		100.00		144.00		874.00
BCL-5049	Carlos Antonio Escobar Barrera	Ejecutivo	300.00		120.00		100.00		90.00		610.00
BCL-5050	Esteban Mauricio Vascones Aguirre	Ejecutivo	180.00		120.00		100.00		72.00		472.00
BCL-5051	Sofía Patricia Peñaherrera Ochoa	Ejecutivo	300.00		350.00		100.00		90.00		840.00
BCL-5052	Emilio Miguel Córdova Loor	Ejecutivo Senior		400.00		180.00		150.00		175.00	905.00
BCL-5053	Leonardo Alejandro Rivera Álvarez	Ejecutivo	180.00		120.00		100.00		90.00		490.00
BCL-5054	Fabián Fernando Alarcón Macías	Ejecutivo	180.00		240.00		100.00		90.00		610.00
BCL-5055	Cristina Elena Cortés García	Ejecutivo	300.00		330.00		100.00		90.00		820.00
BCL-5056	Sebastián Andrés García Molina	Ejecutivo	300.00		260.00		100.00		144.00		804.00
BCL-5057	Paola Elena Jaramillo Paredes	Ejecutivo	80.00		180.00		100.00		108.00		468.00
BCL-5058	Diana Valentina Delgado Solís	Ejecutivo	180.00		500.00		100.00		90.00		870.00
BCL-5059	Cristina Elena Aguirre Alarcón	Ejecutivo	80.00		120.00		100.00		144.00		444.00
BCL-5060	Mónica Valentina Palacios Escobar	Ejecutivo	180.00		330.00		100.00		90.00		700.00
BCL-5061	Iván Andrés Palacios Mendieta	Ejecutivo Senior		250.00		600.00		150.00		275.00	1275.00
BCL-5062	Laura Sofía Zambrano Hidalgo	Ejecutivo	180.00		180.00		100.00		54.00		514.00
BCL-5063	Diego Mora Jaramillo	Ejecutivo	80.00		350.00		0.00		216.00		646.00
BCL-5064	Miguel Eduardo Loor Guerrero	Ejecutivo	80.00		500.00		100.00		90.00		770.00
BCL-5065	Héctor Mauricio Aguirre Ibarra	Ejecutivo	300.00		500.00		100.00		90.00		990.00
BCL-5066	María Lucía Molina Espinoza	Ejecutivo	180.00		80.00		100.00		144.00		504.00
BCL-5067	Patricia Isabel Solís Domínguez	Ejecutivo	80.00		500.00		100.00		72.00		752.00
BCL-5068	Jorge Eduardo Ochoa Solís	Ejecutivo	180.00		120.00		100.00		72.00		472.00
BCL-5069	Martín José Paredes Loor	Ejecutivo Senior		250.00		700.00		150.00		325.00	1425.00
BCL-5070	Gonzalo Mauricio Cárdenas Córdova	Ejecutivo	80.00		120.00		100.00		126.00		426.00
BCL-5071	Paola Fernanda Guerrero Palacios	Ejecutivo	300.00		430.00		100.00		108.00		938.00
BCL-5072	Tomás Luis Córdova Montero	Ejecutivo	80.00		350.00		0.00		108.00		538.00
BCL-5073	David Luis Domínguez Ibarra	Ejecutivo	180.00		120.00		100.00		162.00		562.00
BCL-5074	Silvia Sofía Cárdenas Chávez	Ejecutivo	300.00		120.00		100.00		144.00		664.00
BCL-5075	Elena Andrea Benítez Cortés	Ejecutivo	300.00		330.00		100.00		108.00		838.00
BCL-5076	Iván Sebastián Delgado Mendieta	Ejecutivo	80.00		350.00		0.00		108.00		538.00
BCL-5077	Alejandro José García Barrera	Ejecutivo Senior		250.00		260.00		150.00		200.00	860.00
BCL-5078	Rosa Carolina Reyes Delgado	Ejecutivo	300.00		120.00		100.00		108.00		628.00
BCL-5079	Daniela Fernanda Naranjo Trujillo	Ejecutivo	300.00		300.00		100.00		90.00		790.00
BCL-5080	Nicolás Alejandro Herrera Vascones	Ejecutivo	300.00		350.00		100.00		108.00		858.00
BCL-5081	Mónica Patricia Escobar Quinde	Ejecutivo	300.00		260.00		0.00		162.00		722.00
BCL-5082	Gonzalo Antonio Rojas Molina	Ejecutivo	180.00		350.00		100.00		72.00		702.00
BCL-5083	Verónica Sofía Zambrano Rojas	Ejecutivo	180.00		400.00		100.00		126.00		806.00
BCL-5084	Jorge Fernando Carrión Peñaherrera	Ejecutivo	180.00		350.00		0.00		90.00		620.00
BCL-5085	Pablo Andrés Ochoa Alarcón	Ejecutivo	0.00		400.00		100.00		72.00		572.00
