external_id	display_name	role	captacion_depositos_ejecutivo	captacion_depositos_senior	colocacion_credito_ejecutivo	colocacion_credito_senior	cumplimiento_regulatorio_ejecutivo	cumplimiento_regulatorio_senior	productos_cruzados_ejecutivo	productos_cruzados_senior	Total_calc
BCL-5001	Adriana Reyes Molina	Ejecutivo Senior		120.00		180.00		150.00		225.00	675.00
BCL-5002	Fernando Hidalgo Paredes	Ejecutivo Senior		400.00		480.00		0.00		275.00	1155.00
BCL-5003	Gabriela Vascones Delgado	Ejecutivo Senior		400.00		600.00		150.00		225.00	1375.00
BCL-5004	Santiago Alarcón Vega	Ejecutivo Senior		250.00		260.00		150.00		200.00	860.00
BCL-5005	Carlos Mauricio Reyes Vega	Ejecutivo Senior		120.00		460.00		150.00		275.00	1005.00
BCL-5006	Ricardo José Andrade Mendieta	Ejecutivo	300.00		350.00		100.00		90.00		840.00
BCL-5007	Mauricio Sebastián Ochoa Ibarra	Ejecutivo	80.00		240.00		0.00		126.00		446.00
BCL-5008	Laura Elena Suárez Hidalgo	Ejecutivo	180.00		330.00		100.00		108.00		718.00
BCL-5009	Roberto Fernando Mora Cortés	Ejecutivo	80.00		120.00		100.00		216.00		516.00
BCL-5010	Marcela Alejandra Andrade Quinde	Ejecutivo	180.00		120.00		100.00		108.00		508.00
BCL-5011	Valentina Valentina Ortiz García	Ejecutivo	180.00		50.00		100.00		108.00		438.00
BCL-5012	Valentina Salazar Mendieta	Ejecutivo	300.00		430.00		100.00		126.00		956.00
BCL-5013	Pablo Mauricio Herrera García	Ejecutivo	80.00		260.00		0.00		72.00		412.00
BCL-5014	Isabella Alejandra Naranjo Macías	Ejecutivo	180.00		330.00		100.00		72.00		682.00
BCL-5015	Mauricio Sebastián Hidalgo Herrera	Ejecutivo Senior		250.00		260.00		150.00		200.00	860.00
BCL-5016	Emilio Fernando Torres Villavicencio	Ejecutivo	80.00		500.00		100.00		126.00		806.00
BCL-5017	Lorena Alejandra Paredes Alarcón	Ejecutivo	180.00		170.00		100.00		126.00		576.00
BCL-5018	Lorena Patricia Delgado Molina	Ejecutivo	80.00		120.00		100.00		54.00		354.00
BCL-5019	Claudia Andrea Solís Castillo	Ejecutivo	0.00		260.00		100.00		72.00		432.00
