external_id	display_name	role	captacion_depositos_ejecutivo	captacion_depositos_senior	colocacion_credito_ejecutivo	colocacion_credito_senior	cumplimiento_regulatorio_ejecutivo	cumplimiento_regulatorio_senior	productos_cruzados_ejecutivo	productos_cruzados_senior	Total_calc
BCL-5001	Adriana Reyes Molina	Ejecutivo Senior		400.00		360.00		150.00		100.00	1010.00
BCL-5002	Fernando Hidalgo Paredes	Ejecutivo Senior		400.00		480.00		150.00		150.00	1180.00
BCL-5003	Gabriela Vascones Delgado	Ejecutivo Senior		550.00		480.00		150.00		325.00	1505.00
BCL-5004	Santiago Alarcón Vega	Ejecutivo Senior		120.00		260.00		150.00		175.00	705.00
BCL-5005	Carlos Mauricio Reyes Vega	Ejecutivo Senior		120.00		480.00		150.00		275.00	1025.00
BCL-5006	Ricardo José Andrade Mendieta	Ejecutivo	180.00		260.00		100.00		144.00		684.00
BCL-5007	Mauricio Sebastián Ochoa Ibarra	Ejecutivo	180.00		260.00		100.00		54.00		594.00
BCL-5008	Laura Elena Suárez Hidalgo	Ejecutivo	300.00		50.00		100.00		90.00		540.00
BCL-5009	Roberto Fernando Mora Cortés	Ejecutivo	80.00		260.00		100.00		108.00		548.00
BCL-5010	Marcela Alejandra Andrade Quinde	Ejecutivo	180.00		300.00		100.00		108.00		688.00
BCL-5011	Valentina Valentina Ortiz García	Ejecutivo	180.00		350.00		0.00		72.00		602.00
BCL-5012	Valentina Salazar Mendieta	Ejecutivo	300.00		430.00		100.00		126.00		956.00
BCL-5013	Pablo Mauricio Herrera García	Ejecutivo	0.00		240.00		100.00		90.00		430.00
BCL-5014	Isabella Alejandra Naranjo Macías	Ejecutivo	80.00		180.00		100.00		72.00		432.00
BCL-5015	Mauricio Sebastián Hidalgo Herrera	Ejecutivo Senior		400.00		360.00		150.00		125.00	1035.00
BCL-5016	Emilio Fernando Torres Villavicencio	Ejecutivo	80.00		180.00		100.00		126.00		486.00
BCL-5017	Lorena Alejandra Paredes Alarcón	Ejecutivo	80.00		170.00		100.00		108.00		458.00
BCL-5018	Lorena Patricia Delgado Molina	Ejecutivo	180.00		350.00		100.00		90.00		720.00
BCL-5019	Claudia Andrea Solís Castillo	Ejecutivo	80.00		180.00		100.00		90.00		450.00
BCL-5020	Esteban Antonio Cortés Suárez	Ejecutivo	300.00		260.00		100.00		108.00		768.00
BCL-5021	Iván José Domínguez Paredes	Ejecutivo	180.00		120.00		100.00		126.00		526.00
BCL-5022	Elena Alejandra Álvarez Salazar	Ejecutivo	80.00		350.00		100.00		90.00		620.00
BCL-5023	Mónica Isabel Jaramillo Ortiz	Ejecutivo	80.00		430.00		100.00		180.00		790.00
BCL-5024	Gonzalo Mauricio Cárdenas Suárez	Ejecutivo Senior		120.00		600.00		150.00		225.00	1095.00
BCL-5025	Teresa Valentina Domínguez Guerrero	Ejecutivo	180.00		500.00		100.00		72.00		852.00
BCL-5026	Mauricio Miguel Salazar Domínguez	Ejecutivo	80.00		350.00		100.00		108.00		638.00
BCL-5027	Roberto Andrade Villavicencio	Ejecutivo	80.00		120.00		100.00		18.00		318.00
BCL-5028	Fernando Antonio Paredes Suárez	Ejecutivo	180.00		120.00		100.00		162.00		562.00
BCL-5029	Paola Fernanda Molina Trujillo	Ejecutivo	300.00		170.00		100.00		234.00		804.00
BCL-5030	Fabián Mauricio Montero Loor	Ejecutivo	180.00		350.00		100.00		90.00		720.00
BCL-5031	Gabriela Sofía Vega Paredes	Ejecutivo	80.00		350.00		100.00		126.00		656.00
BCL-5032	Ricardo Sebastián Salazar Paredes	Ejecutivo	180.00		330.00		100.00		90.00		700.00
BCL-5033	Kevin Fernando Paredes Cárdenas	Ejecutivo Senior		400.00		560.00		150.00		275.00	1385.00
BCL-5034	Isabella Valentina Vascones Quinde	Ejecutivo	180.00		430.00		100.00		162.00		872.00
BCL-5035	Laura Carolina Guerrero Mora	Ejecutivo	80.00		180.00		0.00		54.00		314.00
BCL-5036	Fernanda Carolina Herrera Quinde	Ejecutivo	0.00		350.00		0.00		90.00		440.00
BCL-5037	Diego José Quinde Benítez	Ejecutivo	180.00		400.00		100.00		72.00		752.00
BCL-5038	Mauricio Antonio Vascones Solís	Ejecutivo	80.00		350.00		100.00		108.00		638.00
BCL-5039	Kevin Alejandro Rojas Álvarez	Ejecutivo	80.00		330.00		0.00		90.00		500.00
BCL-5040	Fernando Sebastián Hidalgo Palacios	Ejecutivo	300.00		260.00		100.00		72.00		732.00
BCL-5041	Ana Lucía Paredes Cortés	Ejecutivo	300.00		350.00		100.00		90.00		840.00
BCL-5042	Andrea Carolina Naranjo Quinde	Ejecutivo	300.00		120.00		100.00		144.00		664.00
BCL-5043	Isabella Elena Castillo Rivera	Ejecutivo Senior		120.00		480.00		150.00		200.00	950.00
BCL-5044	Ana Elena Castillo Chávez	Ejecutivo	80.00		50.00		100.00		108.00		338.00
BCL-5045	Kevin Andrés Paredes Domínguez	Ejecutivo	80.00		350.00		100.00		144.00		674.00
BCL-5046	Pablo Alejandro Barrera Reyes	Ejecutivo	300.00		430.00		100.00		72.00		902.00
BCL-5047	Silvia Andrea Barrera Trujillo	Ejecutivo	80.00		240.00		100.00		72.00		492.00
BCL-5048	Daniela Alejandra Montero Vascones	Ejecutivo	80.00		180.00		100.00		144.00		504.00
BCL-5049	Carlos Antonio Escobar Barrera	Ejecutivo	80.00		180.00		100.00		72.00		432.00
BCL-5050	Esteban Mauricio Vascones Aguirre	Ejecutivo	300.00		350.00		100.00		126.00		876.00
BCL-5051	Sofía Patricia Peñaherrera Ochoa	Ejecutivo	180.00		400.00		100.00		18.00		698.00
BCL-5052	Emilio Miguel Córdova Loor	Ejecutivo Senior		400.00		360.00		150.00		225.00	1135.00
BCL-5053	Leonardo Alejandro Rivera Álvarez	Ejecutivo	180.00		180.00		100.00		162.00		622.00
BCL-5054	Fabián Fernando Alarcón Macías	Ejecutivo	180.00		350.00		100.00		144.00		774.00
BCL-5055	Cristina Elena Cortés García	Ejecutivo	180.00		80.00		100.00		126.00		486.00
BCL-5056	Sebastián Andrés García Molina	Ejecutivo	180.00		180.00		100.00		126.00		586.00
BCL-5057	Paola Elena Jaramillo Paredes	Ejecutivo	180.00		350.00		100.00		144.00		774.00
BCL-5058	Diana Valentina Delgado Solís	Ejecutivo	180.00		240.00		100.00		90.00		610.00
BCL-5059	Cristina Elena Aguirre Alarcón	Ejecutivo	80.00		350.00		100.00		54.00		584.00
BCL-5060	Mónica Valentina Palacios Escobar	Ejecutivo	80.00		260.00		100.00		90.00		530.00
BCL-5061	Iván Andrés Palacios Mendieta	Ejecutivo Senior		250.00		480.00		150.00		175.00	1055.00
BCL-5062	Laura Sofía Zambrano Hidalgo	Ejecutivo	180.00		430.00		100.00		90.00		800.00
BCL-5063	Diego Mora Jaramillo	Ejecutivo	180.00		350.00		0.00		90.00		620.00
BCL-5064	Miguel Eduardo Loor Guerrero	Ejecutivo	80.00		260.00		100.00		126.00		566.00
BCL-5065	Héctor Mauricio Aguirre Ibarra	Ejecutivo	180.00		350.00		100.00		108.00		738.00
BCL-5066	María Lucía Molina Espinoza	Ejecutivo	180.00		260.00		100.00		108.00		648.00
BCL-5067	Patricia Isabel Solís Domínguez	Ejecutivo	180.00		50.00		100.00		108.00		438.00
BCL-5068	Jorge Eduardo Ochoa Solís	Ejecutivo	180.00		500.00		100.00		162.00		942.00
BCL-5069	Martín José Paredes Loor	Ejecutivo Senior		250.00		360.00		150.00		275.00	1035.00
BCL-5070	Gonzalo Mauricio Cárdenas Córdova	Ejecutivo	180.00		350.00		100.00		126.00		756.00
BCL-5071	Paola Fernanda Guerrero Palacios	Ejecutivo	180.00		430.00		100.00		54.00		764.00
BCL-5072	Tomás Luis Córdova Montero	Ejecutivo	180.00		120.00		100.00		126.00		526.00
BCL-5073	David Luis Domínguez Ibarra	Ejecutivo	180.00		120.00		100.00		54.00		454.00
BCL-5074	Silvia Sofía Cárdenas Chávez	Ejecutivo	80.00		120.00		100.00		72.00		372.00
BCL-5075	Elena Andrea Benítez Cortés	Ejecutivo	0.00		120.00		100.00		90.00		310.00
BCL-5076	Iván Sebastián Delgado Mendieta	Ejecutivo	80.00		260.00		100.00		162.00		602.00
BCL-5077	Alejandro José García Barrera	Ejecutivo Senior		250.00		420.00		150.00		175.00	995.00
BCL-5078	Rosa Carolina Reyes Delgado	Ejecutivo	180.00		350.00		100.00		72.00		702.00
BCL-5079	Daniela Fernanda Naranjo Trujillo	Ejecutivo	180.00		430.00		100.00		72.00		782.00
BCL-5080	Nicolás Alejandro Herrera Vascones	Ejecutivo	180.00		260.00		100.00		126.00		666.00
BCL-5081	Mónica Patricia Escobar Quinde	Ejecutivo	80.00		430.00		100.00		72.00		682.00
BCL-5082	Gonzalo Antonio Rojas Molina	Ejecutivo	80.00		120.00		100.00		90.00		390.00
BCL-5083	Verónica Sofía Zambrano Rojas	Ejecutivo	180.00		350.00		0.00		108.00		638.00
BCL-5084	Jorge Fernando Carrión Peñaherrera	Ejecutivo	80.00		120.00		100.00		108.00		408.00
BCL-5085	Pablo Andrés Ochoa Alarcón	Ejecutivo	0.00		180.00		100.00		36.00		316.00
