external_id	display_name	role	captacion_depositos_ejecutivo	captacion_depositos_senior	colocacion_credito_ejecutivo	colocacion_credito_senior	cumplimiento_regulatorio_ejecutivo	cumplimiento_regulatorio_senior	productos_cruzados_ejecutivo	productos_cruzados_senior	Total_calc
BCL-5001	Adriana Reyes Molina	Ejecutivo Senior		400.00		180.00		150.00		250.00	980.00
BCL-5002	Fernando Hidalgo Paredes	Ejecutivo Senior		0.00		80.00		0.00		150.00	230.00
BCL-5003	Gabriela Vascones Delgado	Ejecutivo Senior		400.00		600.00		150.00		250.00	1400.00
BCL-5004	Santiago Alarcón Vega	Ejecutivo Senior		120.00		260.00		150.00		175.00	705.00
BCL-5005	Carlos Mauricio Reyes Vega	Ejecutivo Senior		120.00		240.00		150.00		225.00	735.00
BCL-5006	Ricardo José Andrade Mendieta	Ejecutivo	80.00		240.00		100.00		144.00		564.00
BCL-5007	Mauricio Sebastián Ochoa Ibarra	Ejecutivo	180.00		260.00		0.00		72.00		512.00
BCL-5008	Laura Elena Suárez Hidalgo	Ejecutivo	80.00		260.00		100.00		90.00		530.00
BCL-5009	Roberto Fernando Mora Cortés	Ejecutivo	80.00		170.00		100.00		126.00		476.00
BCL-5010	Marcela Alejandra Andrade Quinde	Ejecutivo	80.00		180.00		100.00		108.00		468.00
BCL-5011	Valentina Valentina Ortiz García	Ejecutivo	80.00		120.00		100.00		90.00		390.00
BCL-5012	Valentina Salazar Mendieta	Ejecutivo	0.00		80.00		100.00		18.00		198.00
BCL-5013	Pablo Mauricio Herrera García	Ejecutivo	0.00		80.00		100.00		162.00		342.00
BCL-5014	Isabella Alejandra Naranjo Macías	Ejecutivo	0.00		260.00		100.00		72.00		432.00
BCL-5015	Mauricio Sebastián Hidalgo Herrera	Ejecutivo Senior		0.00		340.00		150.00		225.00	715.00
BCL-5016	Emilio Fernando Torres Villavicencio	Ejecutivo	180.00		350.00		100.00		36.00		666.00
BCL-5017	Lorena Alejandra Paredes Alarcón	Ejecutivo	300.00		400.00		100.00		54.00		854.00
BCL-5018	Lorena Patricia Delgado Molina	Ejecutivo	80.00		170.00		100.00		54.00		404.00
BCL-5019	Claudia Andrea Solís Castillo	Ejecutivo	180.00		240.00		100.00		90.00		610.00
BCL-5020	Esteban Antonio Cortés Suárez	Ejecutivo	180.00		260.00		100.00		72.00		612.00
BCL-5021	Iván José Domínguez Paredes	Ejecutivo	0.00		330.00		100.00		108.00		538.00
BCL-5022	Elena Alejandra Álvarez Salazar	Ejecutivo	80.00		350.00		0.00		90.00		520.00
BCL-5023	Mónica Isabel Jaramillo Ortiz	Ejecutivo	0.00		240.00		100.00		72.00		412.00
BCL-5024	Gonzalo Mauricio Cárdenas Suárez	Ejecutivo Senior		120.00		260.00		0.00		175.00	555.00
BCL-5025	Teresa Valentina Domínguez Guerrero	Ejecutivo	80.00		240.00		100.00		72.00		492.00
BCL-5026	Mauricio Miguel Salazar Domínguez	Ejecutivo	80.00		430.00		100.00		90.00		700.00
