folio	fecha	hora_apertura	hora_cierre	mesa	mesero_id	mesero_nombre	num_comensales	turno	subtotal_alimentos	subtotal_bebidas	descuento	cortesia	cancelado	subtotal	iva	total	propina	efectivo	tarjeta	forma_pago	sucursal_id	tipo_servicio
CHQ-FRMX-CD-CDMX-001-20240122-0001	2024-01-22	7:20	21:16	22	MES-022	Ana Cruz Martínez	2	morning	240.75	80.25	0	0	6.42	321	50.33	364.91	44.04	0	364.91	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240123-0002	2024-01-23	11:45	13:38	1	MES-013	Sofía Reyes Morales	3	afternoon	599.25	199.75	0	0	15.98	799	125.28	908.3	109.62	0	908.3	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240124-0003	2024-01-24	13:33	22:04	23	MES-007	Pablo Mendoza Romero	3	night	312	104	0	0	8.32	416	65.23	472.91	57.08	0	472.91	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240125-0004	2024-01-25	11:53	21:31	10	MES-039	Ana Cruz Martínez	1	morning	322.5	107.5	0	0	0	430	68.8	498.8	60.2	498.8	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240126-0005	2024-01-26	10:30	20:32	18	MES-035	José Antonio López Hernández	1	morning	183	61	9.76	0	0	244	37.48	271.72	32.79	0	271.72	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240127-0006	2024-01-27	12:52	19:37	25	MES-019	Sofía Reyes Morales	4	morning	95.25	31.75	0	0	0	127	20.32	147.32	17.78	147.32	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240128-0007	2024-01-28	12:14	15:50	23	MES-039	Ana Cruz Martínez	1	morning	240.75	80.25	0	0	0	321	51.36	372.36	44.94	0	372.36	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240122-0008	2024-01-22	12:19	16:34	30	MES-013	José Antonio López Hernández	2	night	634.5	211.5	33.84	12.69	16.92	846	125.21	907.76	109.56	0	907.76	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240123-0009	2024-01-23	14:37	19:18	15	MES-007	Pablo Mendoza Romero	2	morning	303.75	101.25	0	0	8.1	405	63.5	460.4	55.57	0	460.4	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240124-0010	2024-01-24	13:43	22:51	8	MES-009	Diego Vázquez Castillo	1	afternoon	95.25	31.75	5.08	0	2.54	127	19.1	138.48	16.71	0	138.48	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240125-0011	2024-01-25	10:30	22:48	18	MES-034	María Elena Gutiérrez Flores	4	night	159.75	53.25	8.52	0	4.26	213	32.04	232.26	28.03	0	232.26	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240126-0012	2024-01-26	14:43	15:41	10	MES-007	José Antonio López Hernández	1	night	464.25	154.75	0	9.29	0	619	97.55	707.26	85.36	707.26	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240127-0013	2024-01-27	7:15	16:44	9	MES-033	María Elena Gutiérrez Flores	3	afternoon	123.75	41.25	0	2.48	0	165	26	188.52	22.75	0	188.52	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240128-0014	2024-01-28	16:24	14:45	9	MES-021	José Antonio López Hernández	4	night	118.5	39.5	0	0	0	158	25.28	183.28	22.12	0	183.28	tarjeta	FRMX-CD-MTY-001	dine_in
