receipt_number	date	open_time	close_time	table	server_id	server_name	guests	shift	food_subtotal	beverage_subtotal	discount	comp	voided	subtotal	tax	total	tip	cash	card	payment_method	store_id	service_type
CHQ-FRMX-CD-CDMX-001-20240129-0001	2024-01-29	18:08	13:30	23	MES-005	Ana Cruz Martínez	2	night	180	60	9.6	3.6	4.8	240	35.52	257.52	31.08	0	257.52	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240130-0002	2024-01-30	15:29	23:06	26	MES-008	Pablo Mendoza Romero	4	afternoon	561	187	0	11.22	0	748	117.88	854.66	103.15	0	854.66	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240131-0003	2024-01-31	19:53	16:38	15	MES-016	Luis Ramírez Torres	1	night	259.5	86.5	13.84	5.19	6.92	346	51.21	371.26	44.81	0	371.26	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240132-0004	2024-01-32	17:55	12:32	18	MES-029	José Antonio López Hernández	2	night	133.5	44.5	7.12	2.67	0	178	26.91	195.12	23.55	0	195.12	tarjeta	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240133-0005	2024-01-33	7:21	14:25	4	MES-027	Carmen Jiménez Ortiz	2	night	405.75	135.25	21.64	0	10.82	541	81.37	589.91	71.2	589.91	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240134-0006	2024-01-34	11:08	20:16	24	MES-038	María Elena Gutiérrez Flores	1	afternoon	557.25	185.75	0	0	0	743	118.88	861.88	104.02	861.88	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240135-0007	2024-01-35	21:06	11:37	17	MES-037	José Antonio López Hernández	2	afternoon	110.25	36.75	0	0	2.94	147	23.05	167.11	20.17	167.11	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240129-0008	2024-01-29	13:56	23:55	11	MES-032	Ana Cruz Martínez	1	night	673.5	224.5	0	0	17.96	898	140.81	1020.85	123.21	1020.85	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240130-0009	2024-01-30	19:57	13:23	12	MES-039	María Elena Gutiérrez Flores	4	night	208.5	69.5	11.12	0	5.56	278	41.81	303.13	36.58	303.13	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240131-0010	2024-01-31	21:25	8:11	18	MES-031	Ana Cruz Martínez	2	afternoon	643.5	214.5	34.32	12.87	17.16	858	126.98	920.63	111.11	0	920.63	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240132-0011	2024-01-32	21:49	22:52	11	MES-034	Luis Ramírez Torres	3	morning	237	79	12.64	0	6.32	316	47.53	344.57	41.59	0	344.57	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240133-0012	2024-01-33	19:50	14:17	29	MES-009	Ana Cruz Martínez	3	morning	270	90	0	0	7.2	360	56.45	409.25	49.39	409.25	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240134-0013	2024-01-34	11:20	23:33	13	MES-002	Sofía Reyes Morales	4	afternoon	526.5	175.5	28.08	10.53	14.04	702	103.9	753.25	90.91	0	753.25	tarjeta	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240135-0014	2024-01-35	18:18	18:04	28	MES-001	Ana Cruz Martínez	4	morning	633	211	0	0	0	844	135.04	979.04	118.16	979.04	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240129-0015	2024-01-29	21:01	8:52	23	MES-025	José Antonio López Hernández	2	morning	488.25	162.75	26.04	0	13.02	651	97.91	709.85	85.67	0	709.85	tarjeta	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240130-0016	2024-01-30	7:20	18:57	4	MES-016	Carmen Jiménez Ortiz	2	afternoon	171.75	57.25	0	0	0	229	36.64	265.64	32.06	265.64	0	efectivo	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240131-0017	2024-01-31	7:03	20:08	19	MES-032	Pablo Mendoza Romero	4	morning	305.25	101.75	0	6.11	0	407	64.14	465.03	56.12	0	465.03	tarjeta	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240132-0018	2024-01-32	19:56	14:05	16	MES-032	Luis Ramírez Torres	1	night	438	146	0	8.76	11.68	584	90.17	653.73	78.9	653.73	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240133-0019	2024-01-33	16:37	19:55	9	MES-025	Carmen Jiménez Ortiz	3	night	546.75	182.25	0	10.93	0	729	114.89	832.96	100.53	832.96	0	efectivo	FRMX-CD-MTY-001	dine_in
CHQ-FRMX-TV-GDL-001-20240134-0020	2024-01-34	12:49	14:21	17	MES-025	Carmen Jiménez Ortiz	4	morning	349.5	116.5	0	0	9.32	466	73.07	529.75	63.94	529.75	0	efectivo	FRMX-TV-GDL-001	express
CHQ-FRMX-CD-CDMX-001-20240135-0021	2024-01-35	17:42	16:49	15	MES-023	Ana Cruz Martínez	3	night	429.75	143.25	0	8.59	0	573	90.31	654.72	79.02	0	654.72	tarjeta	FRMX-CD-CDMX-001	dine_in
CHQ-FRMX-TV-CDMX-001-20240129-0022	2024-01-29	8:59	13:30	24	MES-020	Sofía Reyes Morales	4	afternoon	414.75	138.25	22.12	0	0	553	84.94	615.82	74.32	615.82	0	efectivo	FRMX-TV-CDMX-001	express
CHQ-FRMX-MB-CDMX-001-20240130-0023	2024-01-30	11:30	9:03	19	MES-034	Carmen Jiménez Ortiz	3	afternoon	545.25	181.75	0	10.91	14.54	727	112.25	813.8	98.22	813.8	0	efectivo	FRMX-MB-CDMX-001	dine_in
CHQ-FRMX-CD-MTY-001-20240131-0024	2024-01-31	14:40	20:44	2	MES-021	Diego Vázquez Castillo	2	afternoon	124.5	41.5	6.64	2.49	0	166	25.1	181.97	21.96	181.97	0	efectivo	FRMX-CD-MTY-001	dine_in
