folio	date	hora_apertura	close_time	mesa	server_id	mesero_nombre	guests	turno	vta_comida	beverage_subtotal	descuento	comp	cancelado	subtotal	iva	total	propina	cash	tarjeta	forma_pago	store_id	tipo_servicio	descripcion_producto
CHQ-FRMX-CD-CDMX-001-20240205-0001	2024-02-05	14:37	22:07	10	MES-011	Luis Ramírez Torres	1	morning	601.5	200.5	32.08	12.03	0	802	121.26	879.15	106.1	879.15	0	efectivo	FRMX-CD-CDMX-001	dine_in	margarita clasica
CHQ-FRMX-TV-CDMX-001-20240206-0002	2024-02-06	15:26	21:03	15	MES-027	Pablo Mendoza Romero	2	morning	345.75	115.25	18.44	0	0	461	70.81	513.37	61.96	0	513.37	tarjeta	FRMX-TV-CDMX-001	express	Taco al Pastor
CHQ-FRMX-MB-CDMX-001-20240207-0003	2024-02-07	7:41	22:38	25	MES-029	Ana Cruz Martínez	2	afternoon	344.25	114.75	18.36	6.89	9.18	459	67.93	492.5	59.44	492.5	0	efectivo	FRMX-MB-CDMX-001	dine_in	tacos_pastor
CHQ-FRMX-CD-MTY-001-20240208-0004	2024-02-08	21:55	21:10	24	MES-006	Luis Ramírez Torres	3	morning	612	204	0	0	0	816	130.56	946.56	114.24	946.56	0	efectivo	FRMX-CD-MTY-001	dine_in	TACOS PASTOR
CHQ-FRMX-TV-GDL-001-20240209-0005	2024-02-09	16:19	15:22	17	MES-002	Sofía Reyes Morales	3	morning	472.5	157.5	25.2	9.45	0	630	95.26	690.61	83.35	0	690.61	tarjeta	FRMX-TV-GDL-001	express	Cerveza Corona
CHQ-FRMX-CD-CDMX-001-20240210-0006	2024-02-10	15:47	15:41	24	MES-018	María Elena Gutiérrez Flores	4	afternoon	348.75	116.25	18.6	0	0	465	71.42	517.82	62.5	517.82	0	efectivo	FRMX-CD-CDMX-001	dine_in	tacos_pastor
CHQ-FRMX-TV-CDMX-001-20240211-0007	2024-02-11	13:28	20:33	25	MES-037	Carmen Jiménez Ortiz	1	night	551.25	183.75	0	0	0	735	117.6	852.6	102.9	0	852.6	tarjeta	FRMX-TV-CDMX-001	express	Cerveza Corona
CHQ-FRMX-MB-CDMX-001-20240205-0008	2024-02-05	7:07	23:13	16	MES-028	Diego Vázquez Castillo	1	morning	281.25	93.75	15	0	7.5	375	56.4	408.9	49.35	0	408.9	tarjeta	FRMX-MB-CDMX-001	dine_in	TACOS PASTOR
CHQ-FRMX-CD-MTY-001-20240206-0009	2024-02-06	7:53	8:24	16	MES-027	Pablo Mendoza Romero	3	afternoon	633	211	0	0	16.88	844	132.34	959.46	115.8	959.46	0	efectivo	FRMX-CD-MTY-001	dine_in	CORONA 355ML
CHQ-FRMX-TV-GDL-001-20240207-0010	2024-02-07	16:13	8:05	2	MES-021	María Elena Gutiérrez Flores	1	afternoon	264.75	88.25	14.12	0	7.06	353	53.09	384.91	46.45	0	384.91	tarjeta	FRMX-TV-GDL-001	express	Taco al Pastor
